		名詞	
からせ	～	名詞	
からむ	絡む	抑制単語	
からや	～	名詞	
かるりょう	完了	名詞	
かわりみ	変身	名詞	
かを	かを	名詞	
かん	書く	名詞	
かんあざ	漢字	名詞	
かんがーる	考える	名詞	
かんし	関し	抑制単語	
かんすうか	関数化	名詞	
かんすき	間隙	名詞	
かんすな	関数	名詞	
かんそうする	感想する	抑制単語	
かんち	感じ	名詞	
かんにん	確認	名詞	
かんぺ	完璧	名詞	
かんぺ	完璧	名詞	
き	キ	抑制単語	
き、う	今日	名詞	
きあた	機能	名詞	
きえ	キエ	抑制単語	
きえてる	キエてる	抑制単語	
きがす	気がする	名詞	
きがする	気がする	名詞	
きこう	機構	抑制単語	
きじ	キジ	抑制単語	
きじ	生地	抑制単語		
きじじたい	生地自体	抑制単語	
きした	出した	名詞	
きた	キた	抑制単語	
ぎち	git checkout 	名詞	
ぎで	git diff 	名詞	
きてない	キてない	抑制単語	
きてる	キてる	抑制単語	
きどな	起動	名詞	
きなん	昨日	名詞	
きのな	機能	名詞	
きのな	昨日	名詞	
きのん	昨日	名詞	
きも	肝	抑制単語	
きもする	気もする	名詞	
きもだ	肝だ	名詞	
きゅうしょく	給食	抑制単語	
きょうせい	矯正	抑制単語	
きょうゆな	共有	名詞	
ぎょなむ	業務	名詞	
きん	キン	抑制単語	
きんぱか	金髪	名詞	
くぉーと	```	名詞	
くきん	件	名詞	
くさだい	ください	名詞	
くだたい	ください	名詞	
くだでい	ください	名詞	
くだでい	くだでい	抑制単語	
くだる	件	名詞	
くだん	クダン	抑制単語	
くだん	九段	抑制単語	
ぐち	口	名詞	
くにん	確認	名詞	
くぱ	```Python	名詞	
くろほ	★	名詞	
くろま	●	名詞	
くわさい	ください	名詞	
けいった	経った	名詞	
げきなが	激長	名詞	
けつける	欠ける	名詞	
けつよう	必要	名詞	
げつれい	月齢	抑制単語	
けょ	けど	名詞	
けょうか	評価	名詞	
けょうじ	表示	名詞	
けんいう	件数	名詞	
げんいんか	原因か	名詞	
げんが	ゲンガ	抑制単語	
けんし	検知	名詞	
けんじゃ	権者	名詞	
けんたく	検索	名詞	
げんる	いる	名詞	
げんれ	現れ	名詞	
こあちく	構築	名詞	
こい	この	名詞	
こう	更新手順	名詞	
こうく	効く	名詞	
こうげきしむ	攻撃者	名詞	
ごうこう	行こう	名詞	
こうしく	更新	名詞	
こうじょうてき	恒常的	名詞	
こうしん	行進	抑制単語	
こうつ	交通整理	名詞	
こうとうで	口頭で	名詞	
こうもくひょう	項目表	名詞	
こうもくひょう	高目標	抑制単語	
こうもん	項目	名詞	
こうりてき	効率的	名詞	
こうんし	更新	名詞	
ごーこう	行こう	名詞	
ごーっ	行っ	名詞	
ごーって	行って	名詞	
こーぼう	呼ぼう	名詞	
ごーめて	進めて	名詞	
ごーめる	進める	名詞	
こーょ	コード	名詞	
こがし	こっち	名詞	
こがし	こっち	名詞	
こきじ	個記事	抑制単語	
こきじ	古記事	抑制単語	
こきじ	小記事	抑制単語	
ごけんしゅつ	ご検出	抑制単語	
ここだ	ここだ	名詞	
ここに	ここに	名詞	
ここに	個々に	抑制単語	
ここぶ	ここまでブログにした	短縮よみ	
ここま	ここまで終わり	名詞	
こじく	個人	名詞	
こじんめい	故人名	抑制単語	
ごせい	語成	名詞	
ごった	いった	名詞	
ごってた	行ってた	名詞	
こて	更新手順	名詞	
ことつね	異常	名詞	
こなこく	広告	名詞	
こなよう	この様	名詞	
この	木の	抑制単語	
このした	この下	名詞	
このした	木の下	抑制単語	
このひ	この日	名詞	
このよう	この様	名詞	
このように	この様に	名詞	
こは	ここまでブログにした	短縮よみ	
こは	個は	名詞	
こぱど	コード	名詞	
こみっよ	コミット	名詞	
こめじ	※	名詞	
これくしょく	コレクション	名詞	
これっ	これを	名詞	
これます	来れます	名詞	
これゅ	これも	名詞	
ごろ	ロゴ	名詞	
こんき	今季	抑制単語	
こんごのす	今後のスケジュール	名詞	
さ	サ	抑制単語	
さいあた	最新	名詞	
さいしょ	さいしょ	抑制単語	
さいせいせい	再生成	名詞	
さきあ	先頭	名詞	
さきあた	先頭	名詞	
さきあたま	先頭	名詞	
さくじ	昨日	名詞	
ざけょう	座標	名詞	
ささおさん	笹尾山	抑制単語	
ささてん	支店	名詞	
させ	サセ	抑制単語	
させ	させていただきます。	名詞	
させた	させた	名詞	
させたい	サせたい	抑制単語	
させて	サせて	抑制単語	
さちこん	サチコン	名詞	
さぶとん	座布団	名詞	
さるげん	削減	名詞	
された	サれた	抑制単語	
されて	サれて	抑制単語	
されてん	されてる	名詞	
される	サれる	抑制単語	
さんけん	散見	名詞	
さんて	…	名詞	
さんてん	…ん	抑制単語	
さんてん	三店	抑制単語	
さんてんり	…	名詞	
し	シ	抑制単語	
しいきあたい	閾値	名詞	
しいきち	閾値	名詞	
しいてむ	システム	名詞	
しーょと	ショート	名詞	
しうょ	小	名詞	
しか	シカ	抑制単語	
しか	下	名詞	
じかく	時間	名詞	
じかこ	自発	名詞	
しかない	しかない	名詞	
じからだ	自身	名詞	
じかんきょう	自環境	抑制単語	
しきいあたい	閾値	名詞	
じきょう	実況	名詞	
じくぞ	軸座標	名詞	
しけっと	チケット	名詞	
じこく	字国	抑制単語	
じこく	自刻	抑制単語	
じこく	自国	抑制単語	
じこく	二黒	抑制単語	
しさま	仕様	名詞	
しすらむ	システム	名詞	
した	舌	抑制単語	
したい	シたい	抑制単語	
したい	死体	抑制単語	
したいか	四大家	抑制単語	
したいと	シたいと	抑制単語	
したか	下	名詞	
したくみ	師匠	名詞	
したひ	した	名詞	
じたん	ジタン	抑制単語	
じたん	自担	抑制単語	
じつ	拾	抑制単語	
じっいこう	実行	名詞	
じっきうょ	実況	名詞	
じっこな	実行	名詞	
じっはう	実行	名詞	
して	シて	抑制単語	
していこう	指定校	抑制単語	
してください	シテクダサイ	抑制単語	
してください	してください	名詞	
してしまう	シてしまう	抑制単語	
してた	シテた	抑制単語	
してた	シてた	抑制単語	
してない	シてない	名詞	
してょ	して、	名詞	
しにかた	死に方	名詞	
しまたし	しました	名詞	
しみせ	支店	名詞	
じめ	はじめ	名詞	
しめけり	締切	名詞	
しゃ	↓	名詞	
しゃ	silya	抑制単語	
しや	↓	名詞	
しや	親	名詞	
しやう	仕様	名詞	
じゃういかな	じゃないかな	名詞	
しやすす	しやすい	名詞	
しゃないほうそう	車内放送	抑制単語	
しゃん	ちゃん	名詞	
じゅーう	拾う	名詞	
しゅうかん	週刊	抑制単語	
しゅうかんの	習慣の	抑制単語	
しゅうせす	修正	名詞	
しゅうぜんたい	週全体	名詞	
しゅうりうょ	終了	名詞	
じゅうんび	準備	名詞	
しゅってん	出店	抑制単語	
しゅつりょん	出力	名詞	
じゅゅぶん	十分	名詞	
じゅるび	準備	名詞	
じゅるびか	準備か	名詞	
じゅるへ	準備	名詞	
じゅんへ	準備	名詞	
しょうがす	障害	名詞	
しょうがす	生姜酢	抑制単語	
じょうきうょ	状況	名詞	
しょうさ	調査	名詞	
しようにつき	私用につき	名詞	
しようひ	しよう	名詞	
じょうへん	城辺	抑制単語	
じょうほな	情報	名詞	
しょうめか	消滅	名詞	
しょきでーた	ショキデータ	抑制単語	
じょじょ	徐々	名詞	
しょっと	ちょっと	名詞	
しょとか	ショトカ	名詞	
しょとか	書とか	抑制単語	
しよな	しよう	名詞	
しょる	肩	名詞	
しりょな	資料	名詞	
しるしさ	記した	名詞	
しんい	思い	名詞	
しんだ	シンだ	抑制単語	
しんだる	診断	名詞	
しんでる	シンでる	抑制単語	
しんでる	死んでる	名詞	
しんでる	真でる	抑制単語	
すうみ	数字	名詞	
すく	<script>alert()</script>	名詞	
ずし	逗子	抑制単語	
すすめ	ススメ	抑制単語	
すすめかた	ススメ方	抑制単語	
すとめる	止める	名詞	
すぶけん	すご検	名詞	
すぷっぷ	スワップ	名詞	
すぷんじ	スポンジ	名詞	
すべやしろ	全社	名詞	
すみ	【済】	名詞	
すん	する	名詞	
すんこと	すること	名詞	
すんには	するには	名詞	
せい	セイ	抑制単語	
せいげる	制限	名詞	
せいこた	正答	名詞	
せいじょな	正常	名詞	
せいやく	成約	抑制単語	
せがし	設置	名詞	
せきさん	関さん	名詞	
せず	セず	抑制単語	
せすせい	生成	名詞	
せすへ	整備	名詞	
せっていあたい	設定値	名詞	
せつれば	切れば	名詞	
せど	送	名詞	
ぜるかい	前回	名詞	
ぜるぜん	全然	名詞	
ぜんかい	全開	抑制単語	
ぜんくだん	全件	名詞	
ぜんけん	全県	抑制単語	
せんす	感覚	名詞	
せんべか	選別	名詞	
ぜんやし	全社	名詞	
ぜんりょん	全力	名詞	
そい	その	名詞	
そいうう	そういう	名詞	
そいように	そのように	名詞	
そうな	そうな	名詞	
そうにしん	送信	名詞	
そがし	そっち	名詞	
そち	30	名詞	
そらぎょう	空行	名詞	
だーたい	大体	名詞	
だいいっっ	第一回	名詞	
だいいっぽう	第一報	名詞	
だいけ	daike	抑制単語	
たいしょ	最初	名詞	
だいたつ	台立つ	名詞	
たいち	待ち	名詞	
だいっい	第一回	名詞	
だいに	第2	名詞	
だいに	台に	名詞	
だいにだん	第二弾	抑制単語	
だいにだん	第二段	抑制単語	
だいにだんかい	第二段階	名詞	
だいへ	大兵	抑制単語	
たくじょ	削除	名詞	
たさく	対策	名詞	
たしした	倒した	名詞	
だすせいこう	大成功	名詞	
たずねく	訊く	名詞	
たそう	多層	抑制単語	
たち	他チーム	名詞	
だっす	ダンス	名詞	
だね	ダネ	抑制単語	
たのぷ	タイプ	名詞	
だほう	だろう	名詞	
たまりまち	貯まり待ち	名詞	
たまりまち	玉里町	抑制単語	
だめか	ダメか	名詞	
たもかん	保管	名詞	
たもち	多用	名詞	
たれる	される	名詞	
だんか	段階	名詞	
ちがい	ち外	抑制単語	
ちかん	ち缶	抑制単語	
ちかんもと	置換基	抑制単語	
ちけっよ	チケット	名詞	
ちのん	昨日	名詞	
ちむー	チーム	名詞	
ちょうさたいおう	調査対応	名詞	
ちょくぜ	直前	名詞	
ちょっきく	直近	名詞	
ちょっきつ	直結	名詞	
つかつ	===	名詞	
つつつ	===	名詞	
つつつ	ここまでブログにしたのに	抑制単語	
つんる	作る	動詞ラ行五段	
で	デ	抑制単語	
でぃれ	方	名詞	
でが	ですが	名詞	
てきすよ	テキスト	名詞	
てきたい	てきたい	名詞	
できる	デキる	抑制単語	
でぐ	度	名詞	
てじ	手順	名詞	
てしゅうせい	手修正	名詞	
てじゅく	手順	名詞	
てじゅん	テジゅん	抑制単語	
てじゅんか	手順か	名詞	
ですかめ	ですか？	名詞	
でそきう	できそう	名詞	
でふ	デフォルト	名詞	
てらしごう	照合	名詞	
でるか	デルカ	抑制単語	
てんがき	転記	名詞	
てんてん	…	名詞	
どう	ドウ	抑制単語	
どうよう	童謡	抑制単語	
どうように	童謠に	抑制単語	
とうょじう	登場	名詞	
とうろん	登録	名詞	
どきゅきめんと	ドキュメント	名詞	
とくだの	特大	名詞	
どくんで	読んで	名詞	
とそ	取れる	名詞	
とそる	取れる	名詞	
とちう	途中	名詞	
とちゅな	途中	名詞	
となおった	通った	名詞	
とはな	と花	抑制単語	
とはろ	ところ	名詞	
とびきゅう	飛び級	名詞	
ともに	ともに	抑制単語	
とれる	取れる	名詞	
な	ナ	抑制単語	
ないこう	無効	名詞	
ないで	なので	名詞	
ないでは	なのでは	名詞	
ないと	夜	名詞	
ないの	内の	名詞	
なかぐ	・	名詞	
なかぐほ	・	名詞	
ながべて	並べて	名詞	
ながれ	流	抑制単語	
なしこう	無効	名詞	
なす	ない	名詞	
なすで	なので	名詞	
なせせん	波線	名詞	
なった	鳴った	抑制単語	
なったら	鳴ったら	抑制単語	
なって	鳴って	抑制単語	
なっております	鳴っております	抑制単語	
なってれば	鳴ってれば	抑制単語	
なみせ	～	名詞	
なる	鳴る	抑制単語	
なるへょう	何秒	名詞	
なるほょ	なるほど	名詞	
なん	なる	名詞	
なん	ナン	抑制単語	
なんかいか	何回か	名詞	
なんこう	軟膏	抑制単語	
なんだい	何代	抑制単語	
なんだね	なんだね	名詞	
なんだね	ナンだね	抑制単語	
なんにし	何日	名詞	
なんびょう	難病	抑制単語	
なんへょうか	何秒か	名詞	
に	爾	抑制単語	
にかしょ	2箇所	名詞	
にじ	◎	短縮よみ	
にじか	[[]]	名詞	
にしじ	　	名詞	
にして	にしてください	名詞	
にじゅ	◎	名詞	
にしよう	にしよう	名詞	
にしれい	日例	名詞	
にだす	煮出す	抑制単語	
にち	ニチ	抑制単語	
にちかく	日間	名詞	
にちかん	日感	抑制単語	
にちじ	ニチジ	抑制単語	
にちじ	にチジ	抑制単語	
にちじ	にちじ	抑制単語	
にちじ	に千々	抑制単語	
にちじ	に千千	抑制単語	
にちじ	に知事	抑制単語	
にちじ	仁智じ	抑制単語	
にちじ	日児	抑制単語	
にちじ	日字	抑制単語	
にちじ	日慈	抑制単語	
にちじ	日持	抑制単語	
にちじ	日次	抑制単語	
にちじ	日路	抑制単語	
にちぶん	にちぶん	抑制単語	
にちん	認知	名詞	
にている	ニている	抑制単語	
にてる	ニてる	抑制単語	
にとおり	2通り	名詞	
になった	になった	名詞	
になって	担って	抑制単語	
になってしまう	担ってしまう	抑制単語	
にまいめ	2枚目	名詞	
にゅ	にも	名詞	
にゅーい	ニュース	名詞	
にゅうり、く	入力	名詞	
にゅょうり、く	入力	名詞	
ぬ	日時	名詞	
ねる	年	名詞	
のじ	意味	名詞	
のちがい	のち外	抑制単語	
のちかん	の置換	名詞	
のっていた	ノッていた	抑制単語	
のど	喉	抑制単語	
のなか	野中	抑制単語	
ばー	版	名詞	
ばあす	場合	名詞	
はいしてん	配信	名詞	
はいってた	入ってた	名詞	
はがせい	発生	名詞	
ばがち	バッチ	名詞	
ばけっと	BAQET	抑制単語	
ばけっよ	バケット	名詞	
はしさ	走査	名詞	
はじめかた	始め方	名詞	
はじら	始まら	名詞	
はす	ます	名詞	
ぱすそう	通そう	名詞	
ばって	打って	名詞	
はっぽう	発報	名詞	
はと	こと	名詞	
はなしい	話	名詞	
はなった	放った	抑制単語	
ばみ	番組	名詞	
はゃい	速い	名詞	
はれる	晴れる	抑制単語	
はんえす	反映	名詞	
ばんぐじ	番組	名詞	
はんじ	漢字	名詞	
はんようせす	汎用性	名詞	
ひ、うじ	表示	名詞	
ひあく	聞く	名詞	
びう	秒	名詞	
ひか	左	名詞	
ひしが	◆●	名詞	
ひだか	左	名詞	
ひだや	←	名詞	
ひだりか	左	名詞	
ひだりや	←	名詞	
びっ	！	名詞	
びっく	！	名詞	
ひつよ	必要	名詞	
ひつようか	必要か	名詞	
ひみ	秘密	名詞	
ひや	←	名詞	
びゃ	！	名詞	
びや	秒	名詞	
ぴゅうた	ぴゅう太	名詞	
ひょ	表	名詞	
びょうかん	病患	抑制単語	
びょうご	病後	抑制単語	
びょうになった	秒になった	名詞	
ひんしょうひょう	品証表	名詞	
ひんしょうよう	品証用	名詞	
ひんどら	障害	名詞	
ぷ	<pre></pre>ので	抑制単語	
ふぁ	ファスル	抑制単語	
ふぁい	火	名詞	
ふぁい	火	名詞	
ふぁする	ファイル	名詞	
ふぁんく	機能	名詞	
ふぃーじ	感じ	名詞	
ふぃーる	感じ	名詞	
ふぉるだな	フォルダ名	名詞	
ふく	分	名詞	
ふたど	再度	名詞	
ふっきゅな	復旧	名詞	
ふつなに	普通に	名詞	
ふてい	不貞	抑制単語	
ぶとうかい	舞踏会	名詞	
ぷほんぷと	プロンプト	名詞	
ふような	扶養な	抑制単語	
ぷらぐいく	プラグイン	名詞	
ふる	分	名詞	
ぷれ	<pre>	名詞	
ぷれ	<pre></pre>	名詞	
ぷれ	<pre></pre>ので	抑制単語	
ぷれと	</pre>	名詞	
ふろあ	階	名詞	
ぶろぐ	burogu	抑制単語	
ぷろば	確率	名詞	
ぷろん	指示	名詞	
ぶんるす	分類	名詞	
へびい	重い	形容詞	
へょう	秒	名詞	
へるしょう	減少	名詞	
へんえる	変える	名詞	
へんかく	変換	名詞	
へんかくい	変換の	名詞	
へんし	編集	名詞	
ほうこう	咆哮	抑制単語	
ほうほな	方法	名詞	
ほかちーむ	他チーム	名詞	
ほしし	☆☆☆	名詞	
ぼたく	ボタン	名詞	
ほの	火	名詞	
ほんばん	本盤	抑制単語	
まいにし	毎日	名詞	
まぃめてる	まとめてる	名詞	
まえだと	前だと	名詞	
まえだと	前田利家	抑制単語	
まえもの	前者	名詞	
まきすう	巻数	名詞	
まね	マネジメントコンソール	短縮よみ	
まるか	()	名詞	
まるく	●	名詞	
まるや	◯	名詞	
まわ	回	名詞	
みあ	秒	名詞	
みあお	秒	名詞	
みーと	会	名詞	
みか	右	名詞	
みぎか	右	名詞	
みぎく	右クリック	名詞	
みた	ミた	抑制単語	
みづ	→	名詞	
みてん	視点	名詞	
みとく	水戸区	抑制単語	
みとこう	見とこう	名詞	
みまえ	名前	名詞	
みや	→	名詞	
みる	miru	抑制単語	
みわった	見切った	名詞	
みんぐ	民具	抑制単語	
むかい	向こう	名詞	
むかいこう	向こう	名詞	
むこな	無効	名詞	
むし	虫	抑制単語	
むらさそ	紫	名詞	
むろ	台	名詞	
むろ	台	名詞	
め	メ	抑制単語	
めうど	メアド	名詞	
めーん	メール	名詞	
めそっょ	メソッド	名詞	
めゅり	メモリ	名詞	
めん	麺	抑制単語	
めんだる	面談	名詞	
もうまんたい	大丈夫	名詞	
もこう	以降	名詞	
もじれか	文字列	名詞	
もすだい	問題	名詞	
もちべ	動機	名詞	
もと	本	抑制単語	
もにーた	モニター	名詞	
もようる	もある	名詞	
もらをた	もらった	名詞	
もるだい	問題	名詞	
もるだす	問題	名詞	
もんだす	問題	名詞	
やいみ	休み	名詞	
やお	要約	名詞	
やおやく	要約	名詞	
やさう	やろう	名詞	
やっていって	やっていって	名詞	
やっては	やってこ	名詞	
やほう	やろう	名詞	
やりかた	遣り方	抑制単語	
やろう	野郎	抑制単語	
ゆ	<u>	短縮よみ	
ゆうこ	有効	名詞	
ゆーす	使用	名詞	
ゆにっよ	ユニット	名詞	
ゆゆ	</u>	短縮よみ	
ゅんだい	問題	名詞	
ようけく	要件	名詞	
ようした	明日	名詞	
ようった	あった	名詞	
ようで	用で	名詞	
ようり	あり	名詞	
ようりま	ありま	名詞	
ようります	あります	名詞	
ようりませ	ありませ	名詞	
ようる	ある	名詞	
ようれ	あれ	名詞	
よされう	よさそう	名詞	
よしがい	違い	名詞	
よなに	ように	名詞	
よびもと	呼び元	名詞	
よりあ	以降	名詞	
よりあと	以降	名詞	
よりうえ	以上	名詞	
よりくる	以来	名詞	
よりたの	依頼	名詞	
よりたよ	依頼	名詞	
よりほか	以外	名詞	
よりらい	以来	名詞	
らいく	書く	名詞	
らいこう	書こう	名詞	
らめーん	ラーメン	名詞	
りあん	両	名詞	
りく	リロード	名詞	
りたえる	返る	名詞	
りつった	立った	名詞	
りど	読	名詞	
りばーと	リバート	名詞	
りや	両	名詞	
りやん	両	名詞	
りょいき	領域	名詞	
りよう	人用	抑制単語	
りよう	理容	抑制単語	
りようか	利用可	名詞	
りょうもーど	両モード	名詞	
りょみ	リドミ	名詞	
りろ	リロード	短縮よみ	
りんぐ	リンク	名詞	
れこそど	レコード	名詞	
れこめて	勧めて	名詞	
れんぐ	長さ	名詞	
れんし	練習	名詞	
ろぐいく	ログイン	名詞	
わたよう	私用	名詞	
わよう	私用	名詞	
わりと	割りと	抑制単語	
わんいんでんと	    - 	名詞	
をしう	をしよう	名詞	
をしよう	をしよう	名詞	
